ROUTE_ID,ROUTE_NAME,ID_RUTA,TIME,LONGITUD,DISTANCE,RUTA_ACT,RUTA_ANT,CLASE,ORI_DES,SITUACION,FRECUENCIA,FLOTA,CAPACIDAD,HEADWAY,TDR,MODE,CORREDOR,DEMANDA1,DEMANDA2,DEMANDA3,F_CORREDOR
1266,Route 613,613,104.86,30.54,0.0,C67 V2,171 (Verde) Aqua - Cantaros - Verde V_2,Complementarias,Destino: Centro Metropolitano,Operando,4.29,19.0,344.0,14.0,102.76,1,14.0,0.0,0.0,0.0,0.0
1267,Route 618,618,42.66,13.9,0.0,C83,644A Las Liebres_2,Complementarias,Destino: Centro Metropolitano,Operando,3.75,23.0,304.0,16.0,44.89,1,4.0,0.0,0.0,0.0,0.0
1268,Route 664,664,86.73,34.19,0.0,T13B Azucena,178 Azucena - El Verde (177)_2,Troncal,Destino: Centro Metropolitano,Operando,3.53,19.0,320.6,17.0,102.17,9,,0.0,0.0,0.0,0.0
1269,Route 666,666,94.66,35.17,0.0,T13B Lilas,178 Juanacatl�n - Lilas - El Verde_2,Troncal,Destino: Centro Metropolitano,Operando,1.0,0.0,80.0,60.0,108.34,9,,0.0,0.0,0.0,0.0
1270,Route 668,668,68.73,27.56,0.0,T13B-1 Jardines,176B Jardines_2,Troncal,Destino: Centro Metropolitano,Operando,12.0,45.0,960.0,5.0,82.61,9,,0.0,0.0,0.0,0.0
1271,Route 670,670,72.81,28.94,0.0,T13B-1 Villas,176B Villas_2,Troncal,Destino: Centro Metropolitano,Operando,12.0,39.0,960.0,5.0,87.47,9,,0.0,0.0,0.0,0.0
1272,Route 671,671,80.72,32.93,0.0,T13B-3 Salto-El Verde,Juanacatlan-El Salto-El Verde-Ant. Ce_2,Troncal,Destino: Centro Metropolitano,Operando,1.0,0.0,80.0,60.0,96.88,9,,0.0,0.0,0.0,0.0
1273,Route 674,674,68.89,26.25,0.0,T13B-C01 Cima Serena,178 Cima Serena_2,Complementaria de troncal,Destino: Centro Metropolitano,Operando,4.0,24.0,320.0,15.0,80.14,15,,0.0,0.0,0.0,0.0
1274,Route 705,705,107.72,32.29,0.0,T15-C04 Quince - Villas,275B La Villa_1,Complementaria de troncal,Origen: El Quince,Operando,0.74,6.0,56.0,81.0,106.58,15,13.0,6.89,0.0,0.0,0.0
1276,Route 401,401,56.73,26.5,0.0,MP-C03,619 Blanca_2,Complementaria Mi Macro Perif�rico,MP-C03,Operando,3.0,0.0,300.0,20.0,66.78,14,1.0,0.0,0.0,0.0,0.0
